Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevlett.87.087002
Sm I,{},"{'Sm': 1, 'I': 1}",92.7,0.0,,,10.1007/s13538-012-0109-7
C 2 Li,{},"{'C': 2, 'Li': 1}",1.9,0.0,,,10.1103/physrevb.66.165434
Na,{},{'Na': 1},5.0,0.0,,,10.1103/physrevb.66.165434
Hf N Cl 1-x,{'x': []},,24.0,0.0,,,10.1088/0256-307x/35/9/097401
Hf N Cl,{},"{'Hf': 1, 'N': 1, 'Cl': 1}",24.0,0.0,single crystals,,10.1088/0256-307x/35/9/097401
Ce O Bi S 2-x Se x,{'x': []},,3.0,0.0,,,
Tm Ni 2 B 2 C,{},"{'Tm': 1, 'Ni': 2, 'B': 2, 'C': 1}",11.0,0.0,,,10.1103/physrevlett.99.167001
Nb N,{},"{'Nb': 1, 'N': 1}",14.0,0.0,thin film,,10.1038/ncomms5872
(Pb 0.5 Sn 0.5) 1-x In x Te,{'x': [0.3]},"{'Pb': 0.35, 'Sn': 0.35, 'In': 0.3, 'Te': 1}",4.7,0.0,,,10.1103/physrevb.90.020505
Pb 0.35 Sn 0.35 In 0.3 Te,{},"{'Pb': 0.35, 'Sn': 0.35, 'In': 0.3, 'Te': 1}",4.7,0.0,crystal,,10.1103/physrevb.90.020505
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1143/jpsj.70.1861
Bi 2 Sr 2 Ca Cu 2 O 8+δ,{'δ': []},,90.0,0.0,,,10.1088/0953-8984/23/34/349501
Bi 2 (Sr 1.6 La 0.4) Cu O 6,{},"{'Bi': 2, 'Sr': 1.6, 'La': 0.4, 'Cu': 1, 'O': 6}",75.0,0.0,,,10.1088/0953-8984/23/34/349501
Y Ba 2 Cu 4 O 8,{},"{'Y': 1, 'Ba': 2, 'Cu': 4, 'O': 8}",97.0,12.0,,,10.1088/0953-8984/23/34/349501
Hg Ba 2 Cu O 4.15,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 4.15}",95.0,0.0,,,10.1088/0953-8984/23/34/349501
Hg Ba 2 Ca Cu 2 O 6.22,{},"{'Hg': 1, 'Ba': 2, 'Ca': 1, 'Cu': 2, 'O': 6.22}",127.0,0.0,,,10.1088/0953-8984/23/34/349501
Hg Ba 2 Ca Cu 2 O 6.22,{},"{'Hg': 1, 'Ba': 2, 'Ca': 1, 'Cu': 2, 'O': 6.22}",95.0,0.0,,,10.1088/0953-8984/23/34/349501
Y Ba 2 Cu 3 O 6.92,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.92}",93.7,0.0,,,10.1088/0953-8984/23/34/349501
Y Ba 2 Cu 3 O 6.6,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.6}",63.0,0.0,,,10.1088/0953-8984/23/34/349501
Pu Co Ga 5,{},"{'Pu': 1, 'Co': 1, 'Ga': 5}",18.5,0.0,,,10.1088/0953-8984/23/34/349501
Al,{},{'Al': 1},1.0,0.0,,,
Y Pd 2 B 2 C,{},"{'Y': 1, 'Pd': 2, 'B': 2, 'C': 1}",26.0,0.0,,,10.1103/physrevb.78.020503
La Ir 2 Ge 2,{},"{'La': 1, 'Ir': 2, 'Ge': 2}",5.0,0.0,,,10.1103/physrevb.78.020503
U Ni 2 Al 3,{},"{'U': 1, 'Ni': 2, 'Al': 3}",2.0,0.0,,,10.1088/0953-8984/15/36/315
Mg B 2,{},"{'Mg': 1, 'B': 2}",20.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",20.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",2.5,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",20.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",7.0,0.0,,,
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",90.0,0.0,,,10.1103/physrevb.78.054523
Tl 2 Ba 2 Cu O 6+δ,{'δ': []},,90.0,0.0,,,10.1103/physrevb.78.054523
Tl 2 Ba 2 Cu O 6,{},"{'Tl': 2, 'Ba': 2, 'Cu': 1, 'O': 6}",90.0,0.0,,,10.1103/physrevb.78.054523
Tl 2 Ba 2 Cu O 6,{},"{'Tl': 2, 'Ba': 2, 'Cu': 1, 'O': 6}",35.0,0.0,,,10.1103/physrevb.78.054523
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",90.0,0.0,,,10.1103/physrevb.78.054523
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",35.0,0.0,,,10.1103/physrevb.78.054523
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",90.0,0.0,,,10.1103/physrevb.78.054523
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",90.0,0.0,,,10.1103/physrevb.78.054523
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",90.0,0.0,,,10.1103/physrevb.78.054523
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",90.0,0.0,layer,,10.1103/physrevb.78.054523
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",95.0,0.0,,,10.1103/physrevb.78.054523
(Bi 1.35 Pb 0.85) (Sr 1.47 La 0.38) Cu O 6+δ,{'δ': []},,35.0,0.0,,,10.1103/physrevb.78.054523
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",95.0,0.0,,,10.1103/physrevb.78.054523
Hg Ba 2 Cu O 4+δ,{'δ': []},,90.0,0.0,,,10.1103/physrevb.78.054523
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1103/physrevb.96.180507
B,{},{'B': 1},1.5,0.0,,,10.1103/physrevb.96.180507
B,{},{'B': 1},1.5,0.0,,,10.1103/physrevb.96.180507
Si,{},{'Si': 1},7.0,0.0,,,10.1021/acsaelm.9b00781
Fe 1+y Te 0.6 Se 0.4,{'y': []},,13.7,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,,SrTiO 3,
Fe Se,{},"{'Fe': 1, 'Se': 1}",9.0,0.0,,,
Y Ba 2 Cu 4 O 8,{},"{'Y': 1, 'Ba': 2, 'Cu': 4, 'O': 8}",80.0,0.0,,,10.1103/physrevb.80.140511
Mg V 2 O 4,{},"{'Mg': 1, 'V': 2, 'O': 4}",65.0,0.0,,,10.1103/physrevb.66.064403
Sr 3 Sc 2 Fe 2 As 2 O 5,{},"{'Sr': 3, 'Sc': 2, 'Fe': 2, 'As': 2, 'O': 5}",45.0,0.0,,,10.1088/1674-1056/22/8/087409
Cs 0.8 Fe 1.9 Se 2,{},"{'Cs': 0.8, 'Fe': 1.9, 'Se': 2}",27.0,0.0,,,10.1088/1674-1056/22/8/087409
Sr 2 V Fe As O 3,{},"{'Sr': 2, 'V': 1, 'Fe': 1, 'As': 1, 'O': 3}",37.0,0.0,,,10.1088/1674-1056/22/8/087409
La O Fe As,{},"{'La': 1, 'O': 1, 'Fe': 1, 'As': 1}",26.0,0.0,,,10.1088/1674-1056/22/8/087409
Cs 0.8 Fe 1.9 Se 2,{},"{'Cs': 0.8, 'Fe': 1.9, 'Se': 2}",27.0,0.0,,,10.1088/1674-1056/22/8/087409
Cs 0.87 Fe 2.04 Se 2,{},"{'Cs': 0.87, 'Fe': 2.04, 'Se': 2}",23.0,0.0,,,10.1088/1674-1056/22/8/087409
Cs 0.87 Fe 2.04 Se 2,{},"{'Cs': 0.87, 'Fe': 2.04, 'Se': 2}",27.0,0.0,,,10.1088/1674-1056/22/8/087409
Cs 0.87 Fe 2.04 Se 2,{},"{'Cs': 0.87, 'Fe': 2.04, 'Se': 2}",23.0,0.0,,,10.1088/1674-1056/22/8/087409
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1103/physrevb.75.033301
Mg B 2,{},"{'Mg': 1, 'B': 2}",4.0,0.0,,,10.1109/tasc.2003.812093
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1109/tasc.2003.812093
Tl 2 Ba 2 Cu O 6+δ,{'δ': []},,93.0,0.0,,,10.1384/jsa.17.64
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",96.0,0.0,crystals,,10.1384/jsa.17.64
Hg Ba 2 Cu O 4+δ,{'δ': []},,98.0,0.0,,,10.1384/jsa.17.64
Bi 2 Sr 2 Cu O 6+δ,{'δ': []},,40.0,0.0,,,10.1384/jsa.17.64
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",96.0,0.0,,,10.1384/jsa.17.64
La 2-x Sr x Cu O 4,{'x': []},,40.0,0.0,,,10.1384/jsa.17.64
Nb,{},{'Nb': 1},9.2,0.0,,,10.1016/j.jnoncrysol.2019.119865
Nb,{},{'Nb': 1},9.2,0.0,,,10.1016/j.jnoncrysol.2019.119865
Li Fe P,{},"{'Li': 1, 'Fe': 1, 'P': 1}",4.2,0.0,,,
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.0,0.0,,,
Nb,{},{'Nb': 1},4.2,0.0,film,,10.1143/jpsj.70.228
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,93.5,0.0,single crystal,,10.1007/s10854-017-7483-4
Fe 1+x Se,{'x': []},,8.5,0.0,,,10.1103/physrevb.94.144503
K 0.8 Fe 1.6 Se,{},"{'K': 0.8, 'Fe': 1.6, 'Se': 1}",45.0,0.0,,,10.1103/physrevb.94.144503
Rb 0.8 Fe 1.6 Se,{},"{'Rb': 0.8, 'Fe': 1.6, 'Se': 1}",45.0,0.0,,,10.1103/physrevb.94.144503
Cs 0.8 Fe 1.6 Se,{},"{'Cs': 0.8, 'Fe': 1.6, 'Se': 1}",45.0,0.0,,,10.1103/physrevb.94.144503
Li 1-x Fe x O H Fe 1-y Se,"{'x': [], 'y': []}",,40.0,0.0,,,10.1103/physrevb.94.144503
Fe Se,{},"{'Fe': 1, 'Se': 1}",100.0,0.0,,,10.1103/physrevb.94.144503
Sr Ti O 3,{},"{'Sr': 1, 'Ti': 1, 'O': 3}",65.0,0.0,,,10.1103/physrevb.94.144503
La Pt 2 Ge 2,{},"{'La': 1, 'Pt': 2, 'Ge': 2}",0.4,0.0,,,
Sr Pt 2 As 2,{},"{'Sr': 1, 'Pt': 2, 'As': 2}",5.2,0.0,,,
La Pt 2 Si 2,{},"{'La': 1, 'Pt': 2, 'Si': 2}",0.4,0.0,,,
Ba Pt 2 As 2,{},"{'Ba': 1, 'Pt': 2, 'As': 2}",1.33,0.0,,,
(Y 0.7 Th 0.3) C 1.55,{},"{'Y': 0.7, 'Th': 0.3, 'C': 1.55}",17.0,0.0,,,10.1063/1.1702132
Y 2 C 2.9 B 0.1,{},"{'Y': 2, 'C': 2.9, 'B': 0.1}",16.4,0.0,,,10.1063/1.1702132
Y 2 C 3,{},"{'Y': 2, 'C': 3}",18.0,0.0,,,10.1063/1.1702132
Y 2 C 3,{},"{'Y': 2, 'C': 3}",18.0,0.0,,,10.1063/1.1702132
Ce Fe As O 1-x F x,{'x': []},,41.0,0.0,,,10.1007/s00339-013-7991-x
Gd Fe As O 1-x F x,{'x': []},,3.0,0.0,,,10.1007/s00339-013-7991-x
Ni,{},{'Ni': 1},4.2,0.0,,,10.1143/jpsj.70.1881
Ce Cu 2 Ge 2,{},"{'Ce': 1, 'Cu': 2, 'Ge': 2}",0.6,9.4,,,10.1143/jpsj.81.011001
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.9,0.0,,,10.1143/jpsj.81.011001
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.6,0.0,,,10.1143/jpsj.81.011001
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.55,0.0,single crystal,,10.1143/jpsj.81.011001
Ce Ni 2 Ge 2,{},"{'Ce': 1, 'Ni': 2, 'Ge': 2}",0.2,6.5,,,10.1143/jpsj.81.011001
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.6,0.0,,,10.1143/jpsj.81.011001
U Pt 3,{},"{'U': 1, 'Pt': 3}",0.5,0.0,,,10.1143/jpsj.81.011001
Ce Rh In 5,{},"{'Ce': 1, 'Rh': 1, 'In': 5}",2.2,0.0,,,10.1143/jpsj.81.011001
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.6,0.0,,,10.1143/jpsj.81.011001
Ce Ni 2 Ge 2,{},"{'Ce': 1, 'Ni': 2, 'Ge': 2}",0.4,0.0,,,10.1143/jpsj.81.011001
U Be 13,{},"{'U': 1, 'Be': 13}",0.9,0.0,,,10.1143/jpsj.81.011001
U Ru 2 Si 2,{},"{'U': 1, 'Ru': 2, 'Si': 2}",1.5,0.0,,,10.1143/jpsj.81.011001
Tl 2 Ba 2 Ca Cu 2 O 8,{},"{'Tl': 2, 'Ba': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",98.0,0.0,thin films,,10.1103/physrevlett.86.4660
Y Ba 2 Cu 3 O 6.5,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.5}",58.0,0.0,single crystals,,10.1103/physrevlett.86.4660
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevlett.108.237001
Sr Pt 3 P,{},"{'Sr': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,10.1103/physrevlett.108.237001
Ca Pt 3 P,{},"{'Ca': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,10.1103/physrevlett.108.237001
La Pt 3 P,{},"{'La': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,10.1103/physrevlett.108.237001
Sr Pt 3 P,{},"{'Sr': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,10.1103/physrevlett.108.237001
Sr Pt 3 P,{},"{'Sr': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,10.1103/physrevlett.108.237001
Sr Pt 3 P,{},"{'Sr': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,10.1103/physrevlett.108.237001
Sr Pt 3 P,{},"{'Sr': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,10.1103/physrevlett.108.237001
La Pt 3 P,{},"{'La': 1, 'Pt': 3, 'P': 1}",6.6,0.0,,,10.1103/physrevlett.108.237001
Sr Pt 3 P,{},"{'Sr': 1, 'Pt': 3, 'P': 1}",1.5,0.0,,,10.1103/physrevlett.108.237001
La Pt 3 Si,{},"{'La': 1, 'Pt': 3, 'Si': 1}",0.6,0.0,,,10.1103/physrevlett.108.237001
(Sr Ca) 3 Cu 2 O 4+δ Cl 2-y,"{'δ': [], 'y': []}",,80.0,0.0,,,10.1016/j.physc.2004.12.015
Cl 2,{},{'Cl': 2},35.0,0.0,,,10.1016/j.physc.2004.12.015
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",2.7,0.0,,,10.1103/physrevb.94.125110
U Ru 2 Si 2,{},"{'U': 1, 'Ru': 2, 'Si': 2}",1.5,0.0,,,10.1103/physrevb.92.054504
Lu Pt Bi,{},"{'Lu': 1, 'Pt': 1, 'Bi': 1}",1.0,0.0,,,10.1016/j.ssc.2013.12.010
La Pt Bi,{},"{'La': 1, 'Pt': 1, 'Bi': 1}",0.9,0.0,,,10.1016/j.ssc.2013.12.010
Y Pt Bi,{},"{'Y': 1, 'Pt': 1, 'Bi': 1}",0.77,0.0,,,10.1016/j.ssc.2013.12.010
Y Pt Bi,{},"{'Y': 1, 'Pt': 1, 'Bi': 1}",0.77,0.0,,,10.1016/j.ssc.2013.12.010
Er Pd Bi,{},"{'Er': 1, 'Pd': 1, 'Bi': 1}",1.22,0.0,,,10.1016/j.ssc.2013.12.010
Fe Se 1-x,{'x': []},,8.44,0.0,,,10.1088/1367-2630/12/7/073024
Fe Se 1-x,{'x': []},,8.2,0.0,,,10.1088/1367-2630/12/7/073024
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",19.5,0.0,,,10.1103/physrevb.80.054407
Cs,{},{'Cs': 1},37.0,0.0,,,10.1103/physrevb.80.054407
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.0,0.0,single crystal,,10.1103/physrevb.99.060502
Y Ba 2 Cu 3 O 7-y,{'y': []},,90.0,0.0,,,10.1007/978-1-4020-2093-3_10
S W N Ts,{},"{'S': 1, 'W': 1, 'N': 1, 'Ts': 1}",15.0,0.0,,,10.1007/978-1-4020-2093-3_10
S W N Ts,{},"{'S': 1, 'W': 1, 'N': 1, 'Ts': 1}",15.0,0.0,,,10.1007/978-1-4020-2093-3_10
Mg B 2,{},"{'Mg': 1, 'B': 2}",36.0,0.0,films,,10.1063/1.1419041
Tl 2 Mn 2 O 7,{},"{'Tl': 2, 'Mn': 2, 'O': 7}",125.0,0.0,,,10.1016/j.jmmm.2003.12.354
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.65.214501
Ga 1-x Mn x As,{'x': [0.053]},"{'Ga': 0.947, 'Mn': 0.053, 'As': 1}",110.0,0.0,,,10.1103/physrevb.66.153202
Rb Os 2 O 6,{},"{'Rb': 1, 'Os': 2, 'O': 6}",6.3,0.0,,,10.1143/jpsj.73.819
C 60,{},{'C': 60},30.0,0.0,crystals,,10.1016/s0009-2614(02)01914-0
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",7.0,0.0,,,10.1103/physrevb.94.094524
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",7.0,0.0,,,10.1103/physrevb.94.094524
Ni,{},{'Ni': 1},1.0,0.0,,,10.1103/physrevb.94.094524
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.0,0.0,,,10.1103/physrevb.94.094524
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.6,0.0,,,10.1103/physrevb.94.054514
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.75,0.0,,,10.1103/physrevb.81.180511
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.75,0.0,Polycrystalline,,10.1103/physrevb.81.180511
Er Rh 4 B 4,{},"{'Er': 1, 'Rh': 4, 'B': 4}",8.7,0.0,,,10.1016/s0921-4534(00)00176-3
Al,{},{'Al': 1},1.1,0.0,film,,10.1063/1.122926
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",20.0,0.0,epitaxial films,,10.1063/1.3371814
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",20.0,0.0,epitaxial films,,10.1063/1.3371814
La Fe As O 8,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 8}",20.0,0.0,epitaxial films,,10.1063/1.3371814
La O 0.5 F 0.5 Bi Se 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'Se': 2}",2.6,0.0,,,10.1088/0953-8984/28/45/453001
La Cr O Se 2,{},"{'La': 1, 'Cr': 1, 'O': 1, 'Se': 2}",51.0,0.0,,,10.1088/0953-8984/28/45/453001
La O 0.5 F 0.5 Bi Se S,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'Se': 1, 'S': 1}",3.8,0.0,,,10.1088/0953-8984/28/45/453001
La Cr O S 2,{},"{'La': 1, 'Cr': 1, 'O': 1, 'S': 2}",35.0,0.0,,,10.1088/0953-8984/28/45/453001
(Ba Sr) 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevlett.101.257006
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",0.1,2.5,,,10.1016/j.physc.2004.03.120
Fe Se 1-x Te x,{'x': []},,15.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,
Ce Cu 2 Ge 2,{},"{'Ce': 1, 'Cu': 2, 'Ge': 2}",0.64,10.0,,,10.1038/srep00117
Eu Rb Fe 4 As 4,{},"{'Eu': 1, 'Rb': 1, 'Fe': 4, 'As': 4}",35.0,0.0,,,10.1103/physrevb.99.144509
Ca K Fe 4 As 4,{},"{'Ca': 1, 'K': 1, 'Fe': 4, 'As': 4}",40.0,55.0,,,10.1103/physrevb.99.144509
Eu Rb Fe 4 As 4,{},"{'Eu': 1, 'Rb': 1, 'Fe': 4, 'As': 4}",3.7,0.0,,,10.1103/physrevb.99.144509
Eu (Rb Cs) Fe 4 As 4,{},"{'Eu': 1, 'Rb': 1, 'Cs': 1, 'Fe': 4, 'As': 4}",35.0,0.0,Polycrystalline,,10.1103/physrevb.99.144509
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.1038/srep07273
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1038/srep07273
Fe Se 0.5 Te 0.5,{},"{'Fe': 1, 'Se': 0.5, 'Te': 0.5}",21.0,0.0,films,,10.1038/srep07273
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,films,,10.1038/srep07273
Fe Te 0.5 Se 0.5,{},"{'Fe': 1, 'Te': 0.5, 'Se': 0.5}",16.0,0.0,film,,10.1038/srep07273
Ba Fe 1.9 Ni 0.1 As 2,{},"{'Ba': 1, 'Fe': 1.9, 'Ni': 0.1, 'As': 2}",20.0,0.0,,,10.1103/physrevb.82.064515
Mo N,{},"{'Mo': 1, 'N': 1}",6.0,0.0,,,10.1016/j.ssc.2007.04.041
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,91.0,0.0,,,10.1016/j.ssc.2007.04.041
La O Bi S 2,{},"{'La': 1, 'O': 1, 'Bi': 1, 'S': 2}",2.5,0.0,,,10.7567/jjap.56.05fc01
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.1016/j.ssc.2014.12.022
Y Ir 2 Si 2,{},"{'Y': 1, 'Ir': 2, 'Si': 2}",2.72,0.0,,,
Y Ir 2 Si 2,{},"{'Y': 1, 'Ir': 2, 'Si': 2}",2.52,0.0,,,
La Ir 2 Si 2,{},"{'La': 1, 'Ir': 2, 'Si': 2}",2.52,0.0,,,
La Ir 2 Si 2,{},"{'La': 1, 'Ir': 2, 'Si': 2}",1.4,0.0,,,
Y Ir 2 Si 2,{},"{'Y': 1, 'Ir': 2, 'Si': 2}",2.52,0.0,,,
Y Ir 2 Si 2,{},"{'Y': 1, 'Ir': 2, 'Si': 2}",1.24,0.0,,,
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",0.2,0.0,,,10.7566/jpsj.89.033702
U Te 2,{},"{'U': 1, 'Te': 2}",0.2,0.0,,,10.7566/jpsj.89.033702
U Te 2,{},"{'U': 1, 'Te': 2}",1.6,0.0,,,10.7566/jpsj.89.033702
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.5,0.0,,,10.1088/0953-8984/13/44/104
Ba Ti 2 Sb 2 O,{},"{'Ba': 1, 'Ti': 2, 'Sb': 2, 'O': 1}",5.5,0.0,,,10.1088/1367-2630/14/12/123003
Ba Ti 2 Sb 2 O,{},"{'Ba': 1, 'Ti': 2, 'Sb': 2, 'O': 1}",0.8,0.0,,,10.1088/1367-2630/14/12/123003
Na x Ba 1-x Ti 2 Sb 2 O,{'x': []},,5.5,0.0,,,10.1088/1367-2630/14/12/123003
La H 10,{},"{'La': 1, 'H': 10}",260.0,170.0,,,10.20948/prepr-2019-52
Pb,{},{'Pb': 1},15.0,0.0,,,10.1103/physrevb.67.144419
Cu x Bi 2 Se 3,{'x': []},,3.2,0.0,,,
Cu x Bi 2 Se 3,{'x': []},,3.2,0.0,,,
Y Ba 2 Cu 3 O 6+δ,{'δ': []},,85.0,0.0,,,10.1073/pnas.1417150112
Bi,{},{'Bi': 1},36.0,0.0,,,
Bi 1.6 Pb 0.4 Sr 2.05 Cu O y,{'y': []},,60.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",40.0,0.0,,,
Fe Se 25,{},"{'Fe': 1, 'Se': 25}",8.4,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",25.0,0.0,thin film,,
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,
Ba 1-x K x Bi O 3,{'x': []},,32.0,0.0,,,
Ba 0.63 K 0.37 Bi O 3,{},"{'Ba': 0.63, 'K': 0.37, 'Bi': 1, 'O': 3}",1.0,0.0,,,
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",0.01,0.0,,,10.1103/physrevb.100.035203
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",0.6,1.09,,,10.1103/physrevb.100.035203
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1103/physrevlett.88.057001
La 1-y Ca y Mn O 3,{'y': []},,80.0,0.0,,,10.1103/physrevb.64.235127
Y Ru,{},"{'Y': 1, 'Ru': 1}",110.0,0.0,,,10.1140/epjb/e2012-30075-5
Y Ru,{},"{'Y': 1, 'Ru': 1}",100.0,0.0,,,10.1140/epjb/e2012-30075-5
Y Ru,{},"{'Y': 1, 'Ru': 1}",110.0,0.0,,,10.1140/epjb/e2012-30075-5
Cu 0.08 Ti Se 2,{},"{'Cu': 0.08, 'Ti': 1, 'Se': 2}",4.15,0.0,,,10.1088/0953-8984/19/17/176230
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",2.0,0.0,single crystals,,10.1103/revmodphys.81.1551
U Rh Ge,{},"{'U': 1, 'Rh': 1, 'Ge': 1}",0.25,0.0,single crystal,,10.1103/revmodphys.81.1551
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",0.8,0.0,Polycrystalline,,10.1103/revmodphys.81.1551
Ce Ir In 5 Pu re,"{'e': [], 'r': []}",,0.75,0.0,single crystals,,10.1103/revmodphys.81.1551
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.75,0.0,single crystals,,10.1103/revmodphys.81.1551
Ce Ni 2 Ge 2,{},"{'Ce': 1, 'Ni': 2, 'Ge': 2}",0.3,0.0,,,10.1103/revmodphys.81.1551
U Rh Ge,{},"{'U': 1, 'Rh': 1, 'Ge': 1}",9.6,0.0,,,10.1103/revmodphys.81.1551
U Ge 2,{},"{'U': 1, 'Ge': 2}",52.0,0.0,,,10.1103/revmodphys.81.1551
Ce Ni 2 Ge 2,{},"{'Ce': 1, 'Ni': 2, 'Ge': 2}",0.3,0.0,single-crystal,,10.1103/revmodphys.81.1551
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",3.0,0.0,,,10.1103/revmodphys.81.1551
Ta 34 Nb 33 Hf 8 Zr 14 Ti 11,{},"{'Ta': 34, 'Nb': 33, 'Hf': 8, 'Zr': 14, 'Ti': 11}",7.3,0.0,,,10.7567/apex.11.053102
